n,Laplace,Gaussian
2, 0.013229, 0.009437
4, 0.013400, 0.014081
8, 0.009060, 0.008637
16, 0.012208, 0.011970
32, 0.020632, 0.026957
64, 0.026454, 0.062112
128, 0.116600, 0.246120
256, 0.317137, 1.146397
512, 1.425228, 6.361877
1024, 6.441369, 25.791479
2048, 34.532165, 141.325408
4096, 191.148956, 958.040044
8192, 987.508347, 6291.486351
