income,age,marital,race,sex
15595,40,5,1,1
571,33,7,4,1
116050,55,1,1,2
82700,37,1,1,1
20131,79,5,1,2
84700,41,1,1,1
19770,44,3,1,2
41010,46,1,1,2
31340,20,7,1,2
71998,26,7,1,2
63135,55,1,1,2
31598,76,1,1,2
22880,25,7,1,1
39322,78,1,1,2
82100,28,1,1,1
62689,55,1,1,1
27704,54,1,1,2
25100,46,7,1,2
29920,53,4,1,2
28300,36,3,4,1
111000,32,1,1,1
236453,60,1,1,1
232882,83,4,1,1
34800,59,5,1,1
18059,74,4,1,1
127604,42,5,1,1
8052,69,1,1,2
81312,51,5,1,2
6413,71,4,1,2
31383,69,1,1,1
97359,44,1,1,2
23204,34,7,1,1
17000,25,7,2,1
39920,39,5,1,2
142849,49,1,1,2
78470,72,1,1,1
117316,52,1,1,1
76851,22,1,1,2
30016,60,5,1,2
92004,33,1,1,1
15406,64,5,2,2
17136,34,1,2,2
49323,48,1,1,1
42000,50,1,1,1
40026,29,6,1,2
30895,27,1,1,1
94600,52,1,4,1
7000,31,7,2,2
61408,43,1,2,1
107662,67,5,1,1
37502,49,5,1,2
117078,45,1,1,1
32215,58,1,1,1
20708,78,1,1,1
19088,72,7,1,2
29000,42,7,1,1
50181,30,1,2,2
28000,39,5,2,2
45069,38,1,1,1
25000,74,1,1,1
37372,74,1,2,1
54164,85,4,2,2
42000,28,1,1,1
14100,73,1,1,1
7588,68,4,1,2
37667,75,1,1,1
26946,44,7,1,2
77927,64,1,1,1
14970,20,3,1,1
44500,42,5,1,1
49635,53,5,1,2
75200,37,1,1,2
33075,32,7,1,2
41500,29,1,1,1
61831,38,1,1,1
18292,76,1,1,1
33000,39,5,1,2
51840,28,1,1,2
16600,29,1,1,2
60644,43,5,2,1
4301,69,1,1,1
50000,41,6,1,2
22800,28,1,1,2
82000,45,1,1,1
97129,57,1,1,1
5201,46,4,1,2
18632,71,1,1,1
35000,39,5,1,1
38050,27,7,1,1
101999,46,6,1,1
45000,28,7,1,2
51852,73,4,1,2
26110,48,1,1,2
8691,77,4,1,2
94890,58,1,1,1
7871,80,4,1,2
63005,43,5,1,1
22756,74,1,1,2
18560,35,1,1,2
31030,32,7,1,2
45354,67,1,1,1
6384,55,5,1,2
43182,73,1,1,1
41000,52,6,2,2
231908,55,7,1,2
43000,30,7,1,2
24407,52,1,1,2
97300,54,7,1,1
6930,73,5,1,2
32246,77,4,1,2
113800,49,1,1,1
56800,20,7,1,2
9756,56,7,1,1
48010,36,1,1,1
221521,54,1,1,1
10000,57,5,1,1
41623,57,1,1,1
43540,71,5,1,1
62677,43,5,1,2
159123,64,1,1,1
108000,32,1,1,1
67015,26,7,1,2
128820,71,5,1,2
110059,44,1,1,1
4500,71,1,1,1
3906,83,1,1,1
3000,30,5,1,2
92636,50,1,1,1
21230,54,5,1,2
64100,30,1,1,2
32000,48,5,1,2
68000,30,1,1,1
18000,44,7,1,1
32369,80,1,1,1
76439,58,1,1,1
23500,30,7,2,2
40200,50,7,1,2
50100,49,5,1,1
14322,71,4,2,2
11679,72,4,2,2
49029,60,4,2,2
39799,38,5,1,2
61377,52,5,1,2
16350,20,7,2,2
55548,27,7,1,1
50900,35,1,1,1
124806,52,1,1,1
79000,41,1,1,1
75639,44,1,1,1
34850,60,1,1,2
38700,51,1,1,2
6000,28,1,2,2
13549,19,7,2,2
144837,69,5,1,1
10860,50,7,1,2
15900,42,5,2,2
19516,33,7,2,2
98468,36,7,1,2
