dims,trial,error,time
2,0,0.466569474816,0.0059540271759
2,1,0.466569474816,0.00367021560669
2,2,0.466569474816,0.00283598899841
2,3,0.466569474816,0.00361800193787
2,4,0.466569474816,0.00504398345947
3,0,0.271242266541,0.00898909568787
3,1,0.192122212635,0.00740694999695
3,2,0.192122212636,0.00676989555359
3,3,0.192122212635,0.00618505477905
3,4,0.192122212635,0.0068211555481
4,0,0.260243565487,0.0118451118469
4,1,0.241623399645,0.0109360218048
4,2,0.241623399645,0.0136871337891
4,3,0.241623399645,0.0109570026398
4,4,0.241623399654,0.0104520320892
5,0,0.0993573593797,0.0176110267639
5,1,0.0993573593798,0.0210471153259
5,2,0.0993573593797,0.0182099342346
5,3,0.0993573593798,0.0234820842743
5,4,0.0967271924993,0.0232169628143
6,0,0.125818474219,0.0886318683624
6,1,0.127203898991,0.0654079914093
6,2,0.130475546146,0.06600689888
6,3,0.130475546141,0.0675091743469
6,4,0.128464765216,0.0868949890137
7,0,0.0507015692985,0.8641269207
7,1,0.0536553139382,0.866796016693
7,2,0.0515949477811,0.778221130371
7,3,0.0515949477811,0.492681980133
7,4,0.0507015692973,0.721434831619
8,0,0.0658275942639,10.3205270767
8,1,0.0638489591408,8.504778862
8,2,0.0675364045787,11.5129370689
8,3,0.067470590883,8.0817258358
8,4,0.0690285144029,7.95961499214
9,0,0.0258863683523,112.472046852
9,1,0.0260580459309,112.901046991
9,2,0.0251940706297,93.1531119347
9,3,0.0253596381256,87.3407850266
9,4,0.027402377562,91.4466040134
10,0,0.0347473678161,612.878703117
10,1,0.0349523631163,1505.89759493
10,2,0.0338644409462,670.810722828
10,3,0.0344180081161,771.69568181
10,4,0.0335395317021,1659.15044999
