dims,trial,error,time
2,0,0.466569474816,0.00250101089478
2,1,0.466569474816,0.00157189369202
3,0,0.192122212635,0.00256896018982
3,1,0.192122212635,0.00280594825745
4,0,0.241623399645,0.0056369304657
4,1,0.241623399645,0.00507783889771
5,0,0.09935735938,0.0168859958649
5,1,0.0993573593798,0.0143709182739
6,0,0.127203898991,0.0805971622467
6,1,0.130475546141,0.066232919693
7,0,0.0515949477809,0.479975938797
7,1,0.0507015692973,0.804445981979
8,0,0.067536404579,5.84520196915
8,1,0.0659285624052,4.577917099
9,0,0.0246182111752,39.5774440765
9,1,0.0249705172639,78.1583471298
