domain,trial,error,time
128,0,4.75659349552,0.0325210094452
256,0,5.7244336725,0.0763111114502
512,0,6.77057220154,1.02531814575
1024,0,7.88540290445,6.49475312233
2048,0,8.98585458163,52.1014709473
4096,0,10.1684046202,551.348586082
8192,0,11.6420090954,4851.20407891
