domain,trial,time
64,0,0.0452551841736
64,1,0.00712513923645
64,2,0.00598311424255
64,3,0.0283598899841
64,4,0.00254702568054
128,0,0.0854239463806
128,1,0.0930349826813
128,2,0.236932992935
128,3,0.0877740383148
128,4,0.130951881409
256,0,3.4051129818
256,1,7.87420892715
256,2,2.83439803123
256,3,3.85451102257
256,4,5.87202596664
512,0,29.6844899654
512,1,80.9109351635
512,2,20.6213858128
512,3,55.6783180237
512,4,12.4221298695
