,trial,dataset,epsilon,scale,domain,GreedyH,Opt
77,2,SEARCHLOGS,1.0,100000,256,8.75388713842,8.1051344088
78,3,SEARCHLOGS,1.0,100000,256,7.38118189872,7.67814737291
79,4,SEARCHLOGS,1.0,100000,256,7.79004062761,7.19191762897
80,5,SEARCHLOGS,1.0,100000,256,10.1257574289,7.93379030768
81,6,SEARCHLOGS,1.0,100000,256,11.1155333455,13.2351952723
82,7,SEARCHLOGS,1.0,100000,256,7.54108745576,8.03518366269
83,8,SEARCHLOGS,1.0,100000,256,11.5555415907,7.29403039238
84,9,SEARCHLOGS,1.0,100000,256,7.37675138107,19.7193624945
85,10,SEARCHLOGS,1.0,100000,256,5.28766961659,6.86614803314
86,11,SEARCHLOGS,1.0,100000,256,6.118044353,5.06354362233
87,12,SEARCHLOGS,1.0,100000,256,14.5416394523,9.40941647011
88,13,SEARCHLOGS,1.0,100000,256,6.04888417812,6.67770419726
89,14,SEARCHLOGS,1.0,100000,256,12.1086268795,5.47401552895
90,15,SEARCHLOGS,1.0,100000,256,5.95982197155,10.0109746478
91,16,SEARCHLOGS,1.0,100000,256,11.267821794,5.22308355134
92,17,SEARCHLOGS,1.0,100000,256,12.042661385,5.3533535018
93,18,SEARCHLOGS,1.0,100000,256,6.1045555115,6.4409736539
94,19,SEARCHLOGS,1.0,100000,256,8.34976300458,8.94675722036
95,20,SEARCHLOGS,1.0,100000,256,5.10839852459,14.2129882041
96,21,SEARCHLOGS,1.0,100000,256,9.53368667188,5.8841123091
97,22,SEARCHLOGS,1.0,100000,256,7.87037724468,6.95444625649
98,23,SEARCHLOGS,1.0,100000,256,10.8141499056,8.42970376786
99,24,SEARCHLOGS,1.0,100000,256,10.3998101,5.54483585912
100,0,SEARCHLOGS,1.0,100000,1024,10.4820001153,8.10022471157
101,1,SEARCHLOGS,1.0,100000,1024,13.0950809392,11.1933744714
102,2,SEARCHLOGS,1.0,100000,1024,7.11305537114,10.6477040618
103,3,SEARCHLOGS,1.0,100000,1024,7.0505958496,11.3268154305
104,4,SEARCHLOGS,1.0,100000,1024,10.0525547674,12.0721094867
105,5,SEARCHLOGS,1.0,100000,1024,20.5361800708,6.8336051459
106,6,SEARCHLOGS,1.0,100000,1024,12.9187041551,8.93914376828
107,7,SEARCHLOGS,1.0,100000,1024,15.6637431131,8.88394998398
108,8,SEARCHLOGS,1.0,100000,1024,10.7241782625,10.9318256799
109,9,SEARCHLOGS,1.0,100000,1024,11.1749175543,7.94769675039
110,10,SEARCHLOGS,1.0,100000,1024,11.9535001972,8.12805731507
111,11,SEARCHLOGS,1.0,100000,1024,10.6472484217,8.09474801891
112,12,SEARCHLOGS,1.0,100000,1024,24.6346921665,7.27135249486
113,13,SEARCHLOGS,1.0,100000,1024,8.98474080922,10.0512246116
114,14,SEARCHLOGS,1.0,100000,1024,16.6440861641,13.483371976
115,15,SEARCHLOGS,1.0,100000,1024,11.1359998419,9.7808831772
116,16,SEARCHLOGS,1.0,100000,1024,13.5108515579,9.25143176329
117,17,SEARCHLOGS,1.0,100000,1024,11.0536397808,15.6560919637
118,18,SEARCHLOGS,1.0,100000,1024,7.85225701469,6.8755592006
119,19,SEARCHLOGS,1.0,100000,1024,8.66089031674,9.32077884163
120,20,SEARCHLOGS,1.0,100000,1024,10.1882351769,6.93385662871
121,21,SEARCHLOGS,1.0,100000,1024,8.90031547955,8.1193265581
122,22,SEARCHLOGS,1.0,100000,1024,16.3532418301,7.39164706736
123,23,SEARCHLOGS,1.0,100000,1024,14.6067525102,9.03497873915
124,24,SEARCHLOGS,1.0,100000,1024,6.37933093612,6.99650861176
125,0,SEARCHLOGS,1.0,100000,4096,7.3541411506,10.4204625824
126,1,SEARCHLOGS,1.0,100000,4096,16.0591531026,10.3376325489
127,2,SEARCHLOGS,1.0,100000,4096,15.2603073566,15.8734514409
128,3,SEARCHLOGS,1.0,100000,4096,15.7669419236,9.6455352103
129,4,SEARCHLOGS,1.0,100000,4096,11.1500269578,11.110760992
130,5,SEARCHLOGS,1.0,100000,4096,12.3211006645,12.4401430459
131,6,SEARCHLOGS,1.0,100000,4096,12.1086534101,13.2158600403
132,7,SEARCHLOGS,1.0,100000,4096,21.3984668553,10.4503356784
133,8,SEARCHLOGS,1.0,100000,4096,10.8879592278,9.7629894375
134,9,SEARCHLOGS,1.0,100000,4096,27.9495174754,10.6110788973
135,10,SEARCHLOGS,1.0,100000,4096,11.6899649085,13.5157162698
136,11,SEARCHLOGS,1.0,100000,4096,12.9832901547,10.2706383853
137,12,SEARCHLOGS,1.0,100000,4096,20.4488405781,8.8717088758
138,13,SEARCHLOGS,1.0,100000,4096,14.7933751062,9.1635172566
139,14,SEARCHLOGS,1.0,100000,4096,21.5403242046,11.3460291772
140,15,SEARCHLOGS,1.0,100000,4096,7.59439727239,16.3806986834
141,16,SEARCHLOGS,1.0,100000,4096,13.5273220907,10.0518750517
142,17,SEARCHLOGS,1.0,100000,4096,15.1479430226,10.1787632008
143,18,SEARCHLOGS,1.0,100000,4096,19.2316567605,9.37063696015
144,19,SEARCHLOGS,1.0,100000,4096,17.6280305118,9.20406593633
145,20,SEARCHLOGS,1.0,100000,4096,10.1461904992,12.4457261049
146,21,SEARCHLOGS,1.0,100000,4096,12.1428116188,8.96793304128
147,22,SEARCHLOGS,1.0,100000,4096,16.2721178518,8.4057584241
148,23,SEARCHLOGS,1.0,100000,4096,17.4479011758,7.92261947211
149,24,SEARCHLOGS,1.0,100000,4096,12.6801403717,10.4031471433
150,0,MEDCOST,0.01,100000,256,750.716004873,508.123538881
151,1,MEDCOST,0.01,100000,256,410.910180584,532.639343008
152,2,MEDCOST,0.01,100000,256,707.642449263,838.612491159
153,3,MEDCOST,0.01,100000,256,618.598958159,399.481081504
154,4,MEDCOST,0.01,100000,256,1438.35420466,401.64319884
155,5,MEDCOST,0.01,100000,256,668.29674654,334.582391596
156,6,MEDCOST,0.01,100000,256,877.106980914,626.366229846
157,7,MEDCOST,0.01,100000,256,867.980482224,306.646811949
158,8,MEDCOST,0.01,100000,256,567.131999109,602.337616016
159,9,MEDCOST,0.01,100000,256,497.33302057,488.61623484
160,10,MEDCOST,0.01,100000,256,482.003368631,405.579300476
161,11,MEDCOST,0.01,100000,256,462.914922613,454.863968242
162,12,MEDCOST,0.01,100000,256,689.78168989,446.235703776
163,13,MEDCOST,0.01,100000,256,1304.97789035,785.636181917
164,14,MEDCOST,0.01,100000,256,991.796325457,471.760634495
165,15,MEDCOST,0.01,100000,256,239.349610272,262.910944931
166,16,MEDCOST,0.01,100000,256,745.813584889,781.635282451
167,17,MEDCOST,0.01,100000,256,709.31786567,357.42739859
168,18,MEDCOST,0.01,100000,256,409.50724325,367.818485416
169,19,MEDCOST,0.01,100000,256,247.897368101,973.628491247
170,20,MEDCOST,0.01,100000,256,270.690308046,574.94805557
171,21,MEDCOST,0.01,100000,256,609.669713042,572.19519056
172,22,MEDCOST,0.01,100000,256,1101.4662186,385.474730453
173,23,MEDCOST,0.01,100000,256,660.592889155,582.39809297
174,24,MEDCOST,0.01,100000,256,748.243658022,473.36790789
175,0,MEDCOST,0.01,100000,1024,1055.60496219,1369.37999791
176,1,MEDCOST,0.01,100000,1024,411.331785041,323.681152885
177,2,MEDCOST,0.01,100000,1024,342.935833013,982.240594477
178,3,MEDCOST,0.01,100000,1024,518.251899957,353.346705989
179,4,MEDCOST,0.01,100000,1024,574.165492568,636.214992494
180,5,MEDCOST,0.01,100000,1024,881.278181289,362.283610548
181,6,MEDCOST,0.01,100000,1024,419.161448559,499.469549131
182,7,MEDCOST,0.01,100000,1024,840.630774642,352.357453598
183,8,MEDCOST,0.01,100000,1024,379.330682961,852.37446096
184,9,MEDCOST,0.01,100000,1024,675.03630963,374.343069057
185,10,MEDCOST,0.01,100000,1024,584.718562273,435.025461137
186,11,MEDCOST,0.01,100000,1024,510.404673627,473.340529721
187,12,MEDCOST,0.01,100000,1024,2471.29780357,565.949904165
188,13,MEDCOST,0.01,100000,1024,1026.30740056,766.18122687
189,14,MEDCOST,0.01,100000,1024,935.94330063,377.386520245
190,15,MEDCOST,0.01,100000,1024,279.158825169,681.839643184
191,16,MEDCOST,0.01,100000,1024,340.329117969,539.279828932
192,17,MEDCOST,0.01,100000,1024,661.535568096,540.013847964
193,18,MEDCOST,0.01,100000,1024,280.57127333,382.275947808
194,19,MEDCOST,0.01,100000,1024,766.240717518,443.092279343
195,20,MEDCOST,0.01,100000,1024,632.020191931,444.347064442
196,21,MEDCOST,0.01,100000,1024,864.950102078,526.087273364
197,22,MEDCOST,0.01,100000,1024,1121.01955793,686.163762158
198,23,MEDCOST,0.01,100000,1024,1914.08089732,829.484408353
199,24,MEDCOST,0.01,100000,1024,907.209759068,458.325428916
200,0,MEDCOST,0.01,100000,4096,1565.39274503,578.129259198
201,1,MEDCOST,0.01,100000,4096,470.833907593,696.804945833
202,2,MEDCOST,0.01,100000,4096,489.454129874,394.45969949
203,3,MEDCOST,0.01,100000,4096,907.762454627,546.332174689
204,4,MEDCOST,0.01,100000,4096,408.012003158,267.821054437
205,5,MEDCOST,0.01,100000,4096,993.3616987,261.287860741
206,6,MEDCOST,0.01,100000,4096,645.291432961,937.165504003
207,7,MEDCOST,0.01,100000,4096,889.154472771,346.753676979
208,8,MEDCOST,0.01,100000,4096,1049.9516196,921.157118402
